id,clientip,datetime_confirmed,method_GET,request,status_code,size,referer,user_agent,referer_present
0,54.36.149.41,2019-01-22T03:56:14.000+05:30,GET,/filter/271320D985DAAFD8A7D9BEDB8CDAA9D8B3D98427DAA9D985D8AAD8B120D8A7D8B220520D985DAAFD8A7D9BEDB8CDAA9D8B3D984p53 HTTP/11,200,29.86,"","\"Mozilla/5.0 (compatible; AhrefsBot/6.1;",N
1,31.56.96.51,2019-01-22T03:56:16.000+05:30,GET,/image/60844/productModel/200x200 HTTP/11,200,5.53,"\"https://www.zanbil.ir/m/filter/b113\"","\"Mozilla/5.0 (Linux; Android 6.0",Y
2,31.56.96.51,2019-01-22T03:56:16.000+05:30,GET,/image/61474/productModel/200x200 HTTP/11,200,5.25,"\"https://www.zanbil.ir/m/filter/b113\"","\"Mozilla/5.0 (Linux; Android 6.0",Y
3,40.77.167.129,2019-01-22T03:56:17.000+05:30,GET,/image/14925/productModel/100x100 HTTP/11,200,1.66,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
4,91.99.72.15,2019-01-22T03:56:17.000+05:30,GET,/product/31893/62100/D8B3D8B4D988D8A7D8B1D8AED8A7D986DAAFDB8CD9BED8B1D986D8B3D984DB8CD985D8AFD984PR257AT HTTP/11,200,40.51,"","\"Mozilla/5.0 (Windows NT 6.2",N
5,40.77.167.129,2019-01-22T03:56:17.000+05:30,GET,/image/23488/productModel/150x150 HTTP/11,200,2.59,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
6,40.77.167.129,2019-01-22T03:56:18.000+05:30,GET,/image/45437/productModel/150x150 HTTP/11,200,3.6,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
7,40.77.167.129,2019-01-22T03:56:18.000+05:30,GET,/image/576/article/100x100 HTTP/11,200,14.43,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
8,66.249.66.194,2019-01-22T03:56:18.000+05:30,POST,/filter/b41b665c1507CD8A8D8AED8A7D8B1D9BED8B2p56 HTTP/11,200,33.47,"","\"Mozilla/5.0 (compatible; Googlebot/2.1;",N
9,40.77.167.130,2019-01-22T04:56:18.000+05:30,GET,/image/57710/productModel/100x100 HTTP/11,200,1.66,"","\"Mozilla/5.0 (compatible; bingbot/2.0;",N
